scanner_name,universe,start_date,end_date,n_signals,avg_return_5d,avg_return_10d,avg_return_20d,win_rate_5d,win_rate_10d,win_rate_20d,min_pct,min_vol_ratio
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,14181,0.53,0.89,2.31,50.3,51.6,55.1,5.0,1.2
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,22870,0.45,0.79,2.04,50.2,51.6,54.9,3.0,1.2
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,11246,0.46,0.89,2.36,49.8,51.4,55.0,5.0,1.5
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,17107,0.39,0.77,2.07,49.7,51.1,54.6,3.0,1.5
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,6381,0.56,0.97,2.61,49.3,51.0,55.3,8.0,1.2
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,7874,0.44,0.91,2.27,49.1,50.9,53.9,5.0,2.0
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,5868,0.49,0.96,2.41,48.9,50.8,53.8,5.0,2.5
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,5414,0.48,0.96,2.63,48.9,50.6,55.0,8.0,1.5
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,11230,0.35,0.78,2.01,48.8,50.6,53.8,3.0,2.0
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,7959,0.39,0.84,2.16,48.8,50.5,53.7,3.0,2.5
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,4111,0.42,0.89,2.45,48.1,50.1,53.9,8.0,2.0
detect_momentum_burst,NIFTY500,2023-04-14,2026-04-14,3289,0.42,0.9,2.58,47.6,50.0,53.7,8.0,2.5
