scanner_name,universe,start_date,end_date,param_set_id,n_signals,min_pct,min_vol_ratio,max_prior_run,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",2588,4.0,1.3,15.0,0.19,0.07,51.5,-0.11,-0.28,44.6,0.12,-0.28,47.4,-0.33,-0.61,43.0,0.05,-0.24,48.1,-0.32,-0.69,43.4,-0.16,-0.22,48.9,-0.4,-0.78,44.7,1.95,1.77,57.9,-0.53,-0.92,45.0,4.1,-3.32,5.08,-4.34,6.88,-6.68,4.3,3.4,65.6,36.7,31.2,1163,52.9,0.12,745,50.3,-0.29,680,37.5,-1.11
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",2523,4.0,1.3,12.0,0.18,0.06,51.4,-0.13,-0.29,44.3,0.13,-0.28,47.4,-0.33,-0.62,42.9,0.03,-0.27,47.9,-0.34,-0.69,43.2,-0.18,-0.23,48.9,-0.38,-0.77,44.8,1.94,1.76,58.1,-0.52,-0.91,45.0,4.09,-3.31,5.06,-4.31,6.85,-6.64,4.4,3.4,65.6,36.5,31.0,1138,52.7,0.07,716,49.8,-0.33,669,37.7,-1.06
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",2467,4.0,1.3,10.0,0.19,0.06,51.4,-0.12,-0.3,44.1,0.13,-0.29,47.3,-0.34,-0.64,42.6,0.01,-0.27,47.8,-0.36,-0.71,43.0,-0.25,-0.33,48.3,-0.42,-0.79,44.6,1.84,1.7,57.9,-0.58,-0.95,44.7,4.1,-3.3,5.06,-4.31,6.81,-6.65,4.3,3.4,65.3,36.5,30.8,1121,52.5,0.06,687,50.0,-0.31,659,37.6,-1.13
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",2356,4.0,1.3,8.0,0.19,0.05,51.3,-0.13,-0.31,44.0,0.16,-0.27,47.4,-0.33,-0.67,42.6,0.01,-0.28,47.6,-0.37,-0.73,42.7,-0.28,-0.33,48.4,-0.42,-0.81,44.6,1.86,1.77,58.2,-0.54,-0.91,44.9,4.12,-3.27,5.08,-4.29,6.81,-6.65,4.2,3.4,65.2,36.7,30.8,1069,52.5,0.06,649,49.7,-0.29,638,37.5,-1.17
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",2098,4.0,1.5,15.0,0.18,0.05,51.4,-0.13,-0.31,44.5,0.04,-0.38,45.7,-0.39,-0.81,41.4,0.01,-0.3,47.5,-0.39,-0.76,42.6,-0.23,-0.37,48.3,-0.48,-0.85,44.1,1.84,1.64,57.5,-0.56,-0.91,45.2,4.14,-3.39,5.15,-4.41,6.94,-6.83,4.6,3.5,65.4,36.3,31.3,943,52.5,0.09,608,48.3,-0.42,547,38.2,-1.18
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",2041,4.0,1.5,12.0,0.17,0.05,51.3,-0.14,-0.33,44.0,0.05,-0.38,45.7,-0.39,-0.82,41.4,-0.01,-0.31,47.4,-0.42,-0.76,42.5,-0.26,-0.39,48.2,-0.47,-0.84,44.2,1.82,1.63,57.6,-0.57,-0.92,45.1,4.13,-3.39,5.12,-4.4,6.9,-6.8,4.7,3.5,65.3,36.0,31.2,919,52.3,0.03,583,47.8,-0.47,539,38.4,-1.13
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",1997,4.0,1.5,10.0,0.17,0.05,51.3,-0.14,-0.34,43.8,0.06,-0.38,45.6,-0.39,-0.82,41.1,-0.02,-0.31,47.3,-0.43,-0.78,42.3,-0.32,-0.52,47.7,-0.49,-0.85,44.0,1.73,1.61,57.5,-0.61,-0.92,45.0,4.15,-3.38,5.13,-4.39,6.87,-6.81,4.5,3.5,65.1,36.2,31.0,905,52.2,0.03,561,48.2,-0.44,531,38.2,-1.2
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.8}",1486,4.0,1.8,10.0,0.16,0.06,51.6,-0.14,-0.35,43.3,0.1,-0.38,45.8,-0.33,-0.81,42.2,0.01,-0.3,47.5,-0.4,-0.8,42.5,-0.29,-0.55,47.5,-0.43,-0.85,43.9,1.75,1.62,57.5,-0.59,-0.96,44.7,4.28,-3.44,5.27,-4.48,7.04,-6.85,5.0,3.8,65.7,36.9,31.7,674,51.9,-0.08,417,47.6,-0.37,395,39.7,-0.96
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",1911,4.0,1.5,8.0,0.18,0.05,51.2,-0.14,-0.34,43.9,0.08,-0.38,45.9,-0.38,-0.83,41.2,-0.03,-0.35,47.2,-0.44,-0.8,42.0,-0.35,-0.55,47.6,-0.49,-0.85,43.9,1.78,1.67,57.8,-0.55,-0.9,45.1,4.17,-3.34,5.14,-4.37,6.87,-6.81,4.5,3.5,65.0,36.3,30.9,862,52.2,0.04,534,47.8,-0.45,515,38.1,-1.24
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.8}",1421,4.0,1.8,8.0,0.17,0.06,51.6,-0.14,-0.36,43.2,0.13,-0.37,45.9,-0.33,-0.83,42.1,0.02,-0.34,47.3,-0.4,-0.81,42.1,-0.3,-0.58,47.5,-0.4,-0.86,43.9,1.8,1.63,57.6,-0.53,-0.92,44.7,4.31,-3.41,5.31,-4.46,7.07,-6.86,5.0,3.7,65.6,37.1,31.7,644,51.9,-0.06,395,47.2,-0.38,382,39.5,-1.01
