scanner_name,universe,start_date,end_date,param_set_id,n_signals,max_atr_pct,min_days_above_ma50,min_vol_ratio,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",68,0.02,30,1.2,0.18,0.0,50.0,0.02,-0.07,47.1,-0.35,-0.51,44.1,-0.54,-0.6,33.8,-1.61,-0.6,33.8,-1.74,-0.56,44.1,-4.26,-2.48,26.5,-4.14,-1.41,35.3,-4.38,-3.08,30.9,-6.0,-4.02,19.1,2.04,-2.19,2.63,-4.21,2.88,-7.12,4.4,4.4,36.8,16.2,7.4,41,36.6,-2.45,24,25.0,-0.34,3,66.7,-3.26
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.5}",49,0.02,30,1.5,0.22,-0.02,46.9,0.1,-0.02,49.0,-0.38,-0.54,42.9,-0.53,-0.66,32.7,-2.06,-0.57,32.7,-2.14,-0.66,42.9,-5.53,-3.09,22.4,-5.23,-1.48,30.6,-5.92,-3.07,28.6,-7.44,-4.01,18.4,2.0,-2.11,2.58,-4.53,2.73,-7.92,4.1,4.1,34.7,16.3,6.1,30,33.3,-3.49,17,23.5,-0.12,2,100.0,0.72
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.3}",62,0.02,30,1.3,0.2,0.09,51.6,0.01,-0.07,48.4,-0.38,-0.51,45.2,-0.65,-0.68,32.3,-1.81,-0.58,35.5,-2.03,-0.67,41.9,-4.7,-2.62,25.8,-4.66,-1.41,33.9,-5.06,-3.09,29.0,-6.79,-4.04,17.7,2.02,-2.23,2.6,-4.32,2.77,-7.26,4.8,4.8,37.1,16.1,6.5,37,37.8,-2.97,22,27.3,-0.27,3,66.7,-3.26
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":35,""min_vol_ratio"":1.2}",57,0.02,35,1.2,0.12,-0.02,47.4,-0.09,-0.18,43.9,-0.5,-0.58,40.4,-0.84,-0.78,29.8,-1.81,-0.6,33.3,-2.21,-0.68,42.1,-4.88,-3.02,22.8,-4.85,-2.1,31.6,-5.03,-3.1,31.6,-6.7,-4.01,19.3,1.94,-2.17,2.56,-4.26,2.84,-7.66,3.5,3.5,33.3,14.0,8.8,38,39.5,-2.51,16,12.5,-1.3,3,66.7,-3.26
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":45,""min_vol_ratio"":1.2}",42,0.02,45,1.2,0.27,-0.01,50.0,-0.03,-0.23,40.5,-0.2,-0.51,42.9,-0.75,-0.82,28.6,-2.04,-0.49,35.7,-2.66,-0.74,42.9,-5.92,-2.92,23.8,-5.81,-1.4,31.0,-6.7,-3.03,31.0,-8.35,-3.94,19.0,2.08,-1.88,2.63,-4.43,2.95,-8.62,4.8,4.8,31.0,14.3,9.5,31,38.7,-2.78,8,12.5,-1.97,3,66.7,-3.26
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":35,""min_vol_ratio"":1.5}",44,0.02,35,1.5,0.18,-0.04,45.5,0.0,-0.14,45.5,-0.59,-0.59,38.6,-0.79,-0.78,27.3,-2.46,-0.95,29.5,-2.67,-0.77,38.6,-6.2,-3.22,18.2,-5.9,-2.29,27.3,-6.35,-3.19,29.5,-7.87,-4.02,20.5,1.87,-2.12,2.44,-4.8,2.6,-8.56,4.5,4.5,31.8,13.6,6.8,29,34.5,-3.41,13,7.7,-1.54,2,100.0,0.72
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":35,""min_vol_ratio"":1.3}",53,0.02,35,1.3,0.17,-0.01,49.1,-0.09,-0.18,45.3,-0.54,-0.58,41.5,-0.97,-0.87,28.3,-2.05,-0.6,34.0,-2.55,-0.82,39.6,-5.28,-3.02,22.6,-5.36,-2.1,30.2,-5.6,-3.11,30.2,-7.39,-4.03,18.9,1.91,-2.17,2.5,-4.41,2.7,-7.8,3.8,3.8,34.0,13.2,7.5,35,40.0,-2.97,15,13.3,-1.44,3,66.7,-3.26
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":40,""min_vol_ratio"":1.2}",46,0.02,40,1.2,0.18,-0.01,50.0,-0.07,-0.23,41.3,-0.52,-0.59,39.1,-0.92,-0.87,26.1,-2.3,-0.58,32.6,-2.74,-1.52,39.1,-5.86,-3.21,21.7,-5.7,-2.28,28.3,-6.54,-3.1,28.3,-8.09,-4.02,17.4,2.0,-2.16,2.5,-4.62,2.8,-8.57,4.3,4.3,30.4,13.0,8.7,33,36.4,-2.84,10,10.0,-2.27,3,66.7,-3.26
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":40,""min_vol_ratio"":1.3}",42,0.02,40,1.3,0.24,0.12,52.4,-0.07,-0.23,42.9,-0.58,-0.59,40.5,-1.1,-0.96,23.8,-2.66,-0.58,33.3,-3.22,-1.59,35.7,-6.46,-3.22,21.4,-6.43,-2.28,26.2,-7.41,-3.21,26.2,-9.09,-4.04,16.7,1.97,-2.15,2.41,-4.83,2.62,-8.83,4.8,4.8,31.0,11.9,7.1,30,36.7,-3.4,9,11.1,-2.63,3,66.7,-3.26
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":40,""min_vol_ratio"":1.5}",34,0.02,40,1.5,0.31,-0.01,50.0,0.07,-0.14,44.1,-0.56,-0.59,38.2,-0.84,-0.96,23.5,-3.18,-0.65,29.4,-3.4,-1.71,35.3,-7.65,-3.55,17.6,-7.15,-2.29,23.5,-8.62,-3.19,26.5,-9.91,-4.02,17.6,1.99,-2.06,2.38,-5.35,2.57,-9.86,5.9,5.9,29.4,11.8,5.9,25,32.0,-3.8,7,0.0,-3.14,2,100.0,0.72
